Count,Year,JD,mm-dd,HR MIN,PPFD_in,PPFD^2,TA,TA^2,PPFD.x.TA,RH,WS,WD,P,kPa,Vol W C ,Soil T,G,RAD,NETRAD,Sonic T,USTAR,FC,SC,NEE,CO2,  H,  LE
84,2018,2,2-Jan,1700,217.2,47176,-4.9,24.0,-1064.28,44.5,3.35,292.5,0,102.6,0.054,1.7,-10.8,122.2,6.29,-4.3,0.642,2.261,0.105,2.155,415.49,37.419,10.458
85,2018,2,2-Jan,1730,83.3,6939,-5.4,29.2,-449.82,47.5,3.16,246.4,0,102.6,0.053,1.7,-10.69,46.2,-38.86,-4.69,0.569,1.611,-1.018,2.628,416.9,-6.945,7.125
86,2018,2,2-Jan,1800,13.8,190,-5.96,35.5,-82.248,49.7,2.79,271,0,102.6,0.053,1.71,-10.6,6.2,-68.92,-5.17,0.574,0.008,-0.812,0.82,417.76,-17.202,2.409
87,2018,2,2-Jan,1830,0.2,0,-6.53,42.6,-1.306,52.5,1.92,257.4,0,102.6,0.053,1.71,-10.53,0.2,-71.5,-5.69,0.36,-1.053,-1.235,0.182,419.49,-20.097,-3.001
88,2018,2,2-Jan,1900,0,0,-7.07,50.0,0,54.3,1.95,278.6,0,102.6,0.053,1.72,-10.49,0,-70.1,-6.18,0.31,0.637,-0.673,1.31,420.07,-30.179,-1.444
89,2018,2,2-Jan,1930,0,0,-7.33,53.7,0,54.5,2.2,256.8,0,102.6,0.053,1.72,-10.48,0,-69.83,-6.45,0.327,0.778,0.557,0.221,418.48,-29.733,-0.249
90,2018,2,2-Jan,2000,0,0,-7.79,60.7,0,56.8,1.78,265.9,0,102.6,0.053,1.72,-10.48,0,-66.91,-6.89,0.259,0.344,-0.604,0.948,419.03,-26.341,-0.296
91,2018,2,2-Jan,2030,0,0,-8.38,70.2,0,59.2,1.66,204.8,0,102.6,0.053,1.72,-10.52,0,-65.74,-7.48,0.21,-0.333,-1.184,0.852,420.6,-10.783,0.109
92,2018,2,2-Jan,2100,0,0,-8.97,80.5,0,61.1,1.72,235,0,102.6,0.053,1.72,-10.57,0,-63.87,-8.03,0.222,0.066,-1.151,1.217,422.09,-21.856,-0.673
93,2018,2,2-Jan,2130,0,0,-9.34,87.2,0,62,1.94,204,0,102.6,0.053,1.72,-10.63,0,-63.44,-8.4,0.238,0.009,-1.034,1.043,423.68,-22.545,0.042
