Count,,Year,JD,HR MIN,,RAD,NETRAD,PPFD_in,TA,RH,WS,WD,P,kPa,,Vol W C ,Soil T,G,,Sonic T,USTAR,,FC,SC,NEE,CO2,,  H,  LE
113,,2018,3,730,,-0.3,-52.85,-0.4,-14.12,80.4,0.87,202.6,0,102.5,,0.051,1.44,-12.16,,-12.49,0.058,,-0.049,-0.644,,436.07,,-4.824,-0.014
114,,2018,3,800,,-0.1,-51.36,-0.1,-14.24,81.8,0.46,276.3,0,102.5,,0.051,1.42,-12.22,,-12.1,0.025,,0.084,0.149,,435.56,,2.056,-0.542
115,,2018,3,830,,4.3,-46.16,8.8,-13.7,79.8,0.66,276.4,0,102.5,,0.051,1.4,-12.28,,-11.65,0.028,,-0.009,-0.191,,436.87,,-0.595,1.344
116,,2018,3,900,,44.6,-22.59,76.1,-14.83,83.7,0.49,260.6,0,102.5,,0.051,1.38,-12.35,,-11.95,0.03,,0.291,-1.127,,437.29,,1.751,3.213
117,,2018,3,930,,123.6,23.55,220.6,-12.58,73.8,0.68,175.4,0,102.4,,0.051,1.37,-12.4,,-11.02,0.022,,-0.032,0.028,,441.04,,0.531,0.448
118,,2018,3,1000,,187,64.82,343.9,-10.41,62.6,0.41,175.4,0,102.3,,0.051,1.35,-12.44,,-9.67,0.05,,-0.519,0.285,,444.12,,-3.753,8.449
119,,2018,3,1030,,245.5,104.9,472.4,-8.62,55.2,0.65,263.4,0,102.3,,0.052,1.34,-12.45,,-7.75,0.239,,1.974,3.122,-1.148,440.56,,33.92,22.397
120,,2018,3,1100,,302.1,152.4,598.5,-7.55,46.5,1.29,271.9,0,102.2,,0.053,1.34,-12.4,,-6.68,0.372,,6.208,6.618,-0.409,428.32,,98.354,30.976
121,,2018,3,1130,,376,209.7,738,-6.45,38.8,1.02,299,0,102.1,,0.053,1.34,-12.29,,-5.56,0.305,,1.236,3.679,-2.443,422.26,,115.172,26.369
122,,2018,3,1200,,430.7,235.2,797,-5.5,34.2,0.48,240.1,0,102,,0.053,1.33,-12.14,,-4.75,0.176,,3.114,1.055,,421.51,,159.291,51.24
123,,2018,3,1230,,454,283.5,836,-4.36,31,0.61,288.5,0,101.9,,0.053,1.34,-11.99,,-3.75,0.412,,4.81,1.497,3.313,420.11,,257.724,75.47
124,,2018,3,1300,,420,241.9,788,-3.65,27.2,0.34,55.9,0,101.9,,0.053,1.35,-11.87,,-3.06,0.159,,0.07,1.725,,417.5,,157.907,32.646
125,,2018,3,1330,,362.4,202.2,690.3,-2.99,25,0.7,58.1,0,101.8,,0.053,1.35,-11.75,,-2.37,0.23,,0.449,0.687,-0.238,417.05,,179.461,40.04
126,,2018,3,1400,,452.1,274.2,842,-2.15,24.2,0.74,49,0,101.8,,0.053,1.36,-11.63,,-1.7,0.181,,0.824,0.14,,418.04,,135.459,40.56
127,,2018,3,1430,,403,232.8,754,-1.43,21.3,0.73,48.7,0,101.9,,0.053,1.36,-11.5,,-0.87,0.299,,2.044,1.019,1.026,416.94,,177.969,43.67
128,,2018,3,1500,,417.3,229.3,764,-1.02,20.4,0.94,222.8,0,101.9,,0.053,1.37,-11.36,,-0.4,0.192,,0.534,0.591,,416.29,,98.442,19.986
129,,2018,3,1530,,364.4,181.2,659.6,-0.08,19.8,0.88,255.9,0,101.9,,0.053,1.38,-11.22,,0.48,0.428,,1.312,1.044,0.268,415.46,,132.993,25.853
130,,2018,3,1600,,271.3,111.9,489.4,0.22,17.2,1.71,75.5,0,101.8,,0.053,1.39,-11.1,,0.63,0.277,,2.297,1.223,1.074,413.23,,59.849,23.931
131,,2018,3,1630,,213.9,56.72,369.5,0.43,15.1,1.23,181.5,0,101.8,,0.053,1.39,-10.96,,0.84,0.315,,0.084,1.009,-0.924,411.35,,51.35,9.367
132,,2018,3,1700,,134.5,1.39,213.9,0.42,15.1,1.64,195.7,0,101.8,,0.053,1.4,-10.82,,0.73,0.362,,0.381,-0.036,0.417,411.41,,21.047,6.006
133,,2018,3,1730,,32,-57.51,63,-0.97,25.4,1.74,150.1,0,101.8,,0.053,1.41,-10.7,,-0.66,0.272,,-0.352,-3.132,2.78,416.13,,-7.142,-1.819
134,,2018,3,1800,,5.3,-72,11.7,-2.26,29.2,1.61,113.4,0,101.7,,0.053,1.42,-10.57,,-1.63,0.22,,0.397,-0.77,1.167,415.81,,-6.986,-2.436
135,,2018,3,1830,,0,-73.2,0.1,-3.11,31.7,1.02,76.4,0,101.7,,0.053,1.42,-10.44,,-2.4,0.12,,0.069,-0.804,,416.25,,-6.98,-0.941
136,,2018,3,1900,,0,-64.05,0,-3.81,33.9,1.24,85.6,0,101.7,,0.053,1.43,-10.32,,-3.07,0.115,,0.146,-0.994,,417.3,,-5.804,-0.226
137,,2018,3,1930,,0,-50.91,0,-4.39,34.4,1.24,60.8,0,101.6,,0.053,1.44,-10.21,,-3.62,0.123,,0.183,-0.124,,416.67,,-7.767,-0.517
138,,2018,3,2000,,0,-27.32,0,-4.69,35.5,1.15,63.4,0,101.5,,0.053,1.45,-10.13,,-3.94,0.122,,0.191,0.815,,414.45,,-5.256,-0.514
139,,2018,3,2030,,0,-21.19,0,-4.89,37.7,1.08,71,0,101.4,,0.053,1.46,-10.08,,-4.18,0.14,,-0.049,-1.139,,416.58,,-5.062,-0.352
140,,2018,3,2100,,0,-15.95,0,-5.09,40,1.3,90.1,0,101.4,,0.053,1.47,-10.05,,-4.31,0.21,,0.479,-1.448,1.927,419.37,,-8.379,-4.344
